v3.4,v3.3.1,v3.3,v3.2,TestCaseStepName,URL
408,455,1934,2099,RT7313-VendorTeamToLoadVendorAssessmentCreationForm,https://resolver.atlassian.net/browse/RT-7313
1775,2036,3371,3632,RT7313-VendorTeamToSearchForVendor,https://resolver.atlassian.net/browse/RT-7313
2092,2126,6541,11899,RT7313-VendorTeamToCreateVendorAssessment,https://resolver.atlassian.net/browse/RT-7313
1794,1889,2391,1585,RT7218-Load Vendor Assessment Planning Activity,https://resolver.atlassian.net/browse/RT-7218
772,785,1971,5566,RT7218-VendorTeamToClickOnScopeVendorQuestionnaire,https://resolver.atlassian.net/browse/RT-7218
4638,4681,22433,20401,RT7218-VendorTeamToAddVendorQuestionnaireToAssessment,https://resolver.atlassian.net/browse/RT-7218
1442,1575,1684,1711,RT7218-VendorTeamToReviewScope,https://resolver.atlassian.net/browse/RT-7218
100909,98675,91979,88344,RT7218-VendorTeamToConfirmScope,https://resolver.atlassian.net/browse/RT-7218
61358,61951,14995,12944,RT34945-VendorTeamToSubmitToVendor,https://resolver.atlassian.net/browse/RT-34945
872,885,2434,2487,RT7021-VendorContactToOpenAssessmentFrom-VendorAssessmentRequiresReview,https://resolver.atlassian.net/browse/RT-7021
6877,6800,15199,15242,RT7021-VendorContactToClickCompleteQuestionnaire,https://resolver.atlassian.net/browse/RT-7021
2775,2473,12231,10303,RT7021-VendorContactToApplyRequiresResponseFilter,https://resolver.atlassian.net/browse/RT-7021
6455,5942,7676,5873,RT7021-VendorContactToSubmitAssessmenttoReviewState,https://resolver.atlassian.net/browse/RT-7021
944,1317,1934,1585,RT7022-Load Vendor Assessment Planning Activity,https://resolver.atlassian.net/browse/RT-7022
20359,19078,5815,3678,RT7022-VendorTeamToReviewQuestionnaire,https://resolver.atlassian.net/browse/RT-7022
7206,5965,6580,4012,RT7022-VendorTeamToSubmitForReview,https://resolver.atlassian.net/browse/RT-7022
1210,1274,5040,3823,RT7022-VendorTeamToOpenAssessmentFrom-Review Vendor Assessment,https://resolver.atlassian.net/browse/RT-7022
